etid,name,hv,cat,desc,datasheet
,CD40109,0,CMOS 4000 Series Logic Gates,QUAD LEVEL SHIFTER,
,CD40110,0,CMOS 4000 Series Logic Gates,UP/DOWN COUNTER LATCH DECODER DRIVER,
,CD40116,0,CMOS 4000 Series Logic Gates,8-BIT BIDIRECTIONAL CMOS-TO-TTL LEVEL CONVERTER,
,CD40117,0,CMOS 4000 Series Logic Gates,PROGRAMMABLE DUAL 4-BIT TERMINATOR,
,CD40147,0,CMOS 4000 Series Logic Gates,10-LINE TO 4-LINE (BCD) PRIORITY ENCODER,
,CD40160,0,CMOS 4000 Series Logic Gates,DECADE COUNTER/ASYNCHRONOUS CLEAR,
,CD40161,0,CMOS 4000 Series Logic Gates,BINARY COUNTER/ASYNCHRONOUS CLEAR,
,CD40162,0,CMOS 4000 Series Logic Gates,"4-BIT SYNCHRONOUS DECADE COUNTER WITH LOAD, RESET, AND RIPPLE CARRY OUTPUT",
,CD40163,0,CMOS 4000 Series Logic Gates,"4-BIT SYNCHRONOUS BINARY COUNTER WITH LOAD, RESET, AND RIPPLE CARRY OUTPUT",
,CD40174,0,CMOS 4000 Series Logic Gates,HEX D-TYPE FLIP-FLOP,
,CD40175,0,CMOS 4000 Series Logic Gates,QUAD D-TYPE FLIP-FLOP,
,CD40181,0,CMOS 4000 Series Logic Gates,4-BIT 16-FUNCTION ARITHMETIC LOGIC UNIT,
,CD40192,0,CMOS 4000 Series Logic Gates,PRESETTABLE 4-BIT UP/DOWN BCD COUNTER,
,CD40193,0,CMOS 4000 Series Logic Gates,PRESETTABLE 4-BIT UP/DOWN BINARY COUNTER,
,CD40194,0,CMOS 4000 Series Logic Gates,4-BIT BIDIRECTIONAL UNIVERSAL SHIFT REGISTER,
,CD40195,0,CMOS 4000 Series Logic Gates,4-BIT UNIVERSAL SHIFT REGISTER,
,CD40208,0,CMOS 4000 Series Logic Gates,4 X 4-BIT (TRI-STATE) SYNCHRONOUS TRIPLE-PORT REGISTER FILE,
,CD40240,0,CMOS 4000 Series Logic Gates,BUFFER/LINE DRIVER; INVERTING (TRI-STATE),
,CD40244,0,CMOS 4000 Series Logic Gates,BUFFER/LINE DRIVER; NON-INVERTING (TRI-STATE),
,CD40245,0,CMOS 4000 Series Logic Gates,OCTAL BUS TRANSCEIVER; (TRI-STATE) OUTPUTS,
,CD40257,0,CMOS 4000 Series Logic Gates,QUAD 2-LINE TO 1-LINE DATA SELECTOR/MULTIPLEXER (TRI-STATE),
,CD40373,0,CMOS 4000 Series Logic Gates,OCTAL D-TYPE TRANSPARENT LATCH (TRI-STATE),
,CD40374,0,CMOS 4000 Series Logic Gates,OCTAL D-TYPE FLIP-FLOP; POSITIVE-EDGE TRIGGER (TRI-STATE),
,CD45106,0,CMOS 4000 Series Logic Gates,FREQUENCY SYNTHESIZER,
,74LS00,0,74 LS Series Logic ,QUAD 2-INPUT NAND GATE,
,74LS1G00,0,74 LS Series Logic ,SINGLE 2-INPUT NAND GATE,
,74LS01,0,74 LS Series Logic ,QUAD 2-INPUT NAND GATE WITH OPEN COLLECTOR OUTPUTS,
,74LS1G01,0,74 LS Series Logic ,SINGLE 2-INPUT NAND GATE WITH OPEN DRAIN OUTPUT,
,74LS02,0,74 LS Series Logic ,QUAD 2-INPUT NOR GATE,
,74LS1G02,0,74 LS Series Logic ,SINGLE 2-INPUT NOR GATE,
,74LS03,0,74 LS Series Logic ,QUAD 2-INPUT NAND GATE WITH OPEN COLLECTOR OUTPUTS,
,74LS1G03,0,74 LS Series Logic ,SINGLE 2-INPUT NAND GATE WITH OPEN DRAIN OUTPUT,
,74LS04,0,74 LS Series Logic ,HEX INVERTER,
,74LS1G04,0,74 LS Series Logic ,SINGLE INVERTER,
